NCTId,Title,Condition,Eligibility,Status
NCT05078476,Rehabilitation of Finger Flexor Tendon Injuries,Flexor Tendon Rupture,"Inclusion Criteria:

* Informed consent as documented by signature
* ≥ 18 years old
* Understanding of the German language (written and oral)
* Single and multiple finger injuries
* Primary flexor tendon injuries in Zone I-V for the fingers and/ or thumb
* Treated by the hand surgery department at the Inselspital Bern
* Treated with at least a 4-strand core suture

Exclusion Criteria:

* \< 18 years old
* Inability to follow the procedures of the study, e.g. due to language problems, diagnosed psychological disorders or dementia of the patients
* Replantation of the injured finger
* Fracture of the injured finger
* Primary tendon reconstructions",RECRUITING
NCT04030676,QuantiFERON-CMV Test in a Prediction for Colic Cytomegalovirus Reactivation During Ulcerative Colitis,Cytomegalovirus Infections,"Inclusion Criteria:

* Patient with seropositive for CytoMegaloVirus (CMV) (IgG+)
* Patient requiring hospitalization for flare of Ulcerative Colitis (UC) with Mayo score \> 5 and an endoscopic subscore ≥ 2
* Social security affiliation
* Signed informed consent

Exclusion Criteria:

* Wardship patient and curatorial patient
* Patient unable to understand or sign the protocol
* Colectomy total or partial",RECRUITING
NCT01521676,Predictive Clinical and Biological Parameters in Breast Cancer,Breast Cancer,"Inclusion Criteria:

* breast cancer
* age \> 18
* signed informed consent

Exclusion Criteria:

* emergency",RECRUITING
NCT06312176,A Study of Sacituzumab Tirumotecan (MK-2870) as a Single Agent and in Combination With Pembrolizumab (MK-3475) Versus Treatment of Physician's Choice in Participants With HR+/HER2- Unresectable Locally Advanced or Metastatic Breast Cancer (MK-2870-010),Breast Neoplasms,"Inclusion Criteria:

* Has unresectable locally advanced or metastatic centrally-confirmed hormone receptor positive (HR+)/human epidermal growth factor receptor 2 negative (HER2-) breast cancer
* Has radiographic disease progression on one or more lines of endocrine therapy for unresectable locally advanced/metastatic HR+/HER2- breast cancer, with one in combination with a CDK4/6 inhibitor
* Is a chemotherapy candidate
* Has an eastern cooperative oncology group (ECOG) performance status of 0 to 1 assessed within 7 days before randomization
* Has adequate organ function
* Human immunodeficiency virus (HIV)-infected participants must have well controlled HIV on antiretroviral therapy
* Participants who are Hepatitis B surface antigen (HBsAg) positive are eligible if they have received HBV antiviral therapy for at least 4 weeks, and have undetectable HBV viral load
* Participants with a history of Hepatitis C virus (HCV) infection are eligible if HCV viral load is undetectable

Exclusion Criteria:

* Has breast cancer amenable to treatment with curative intent
* Has experienced an early recurrence (\<6 months after completing adjuvant/neoadjuvant chemotherapy) and therefore is eligible to receive second-line (2L) treatment
* Has symptomatic advanced/metastatic visceral spread at risk of rapidly evolving into life-threatening complications
* Has received prior chemotherapy for unresectable locally advanced or metastatic breast cancer
* Active autoimmune disease that has required systemic treatment in the past 2 years
* History of (noninfectious) pneumonitis/interstitial lung disease that requires steroids, or has current pneumonitis/interstitial lung disease
* Has an active infection requiring systemic therapy",RECRUITING
NCT06087627,"A Non-interventional Study to Describe the Dupilumab Long-term Treatment, Safety and Patient Reported Outcomes in Chronic Nodular Prurigo (Prurigo Nodularis) in Clinical Routine",Prurigo Nodularis,"Inclusion Criteria:

* Participants at least 18 years of age at baseline visit
* Signed written informed consent
* New initiation with dupilumab or in whom treatment with dupilumab was started within the last 7 days for moderate to severe prurigo nodularis according to the prescribing information/Summary of Product Characteristics (SmPC)
* Patients who received the initial diagnosis of PN

Exclusion Criteria:

* Patients who have a contraindication to dupilumab according to the current prescribing information label/SmPC
* Patients who have been treated for more than 7 days with dupilumab
* Any acute or chronic condition that, in the treating physician´s opinion, would limit the patient´s ability to complete questionnaires or to participate in this study or impact the interpretation of the results
* Participation in an ongoing interventional or observational study that might, in the treating physician´s opinion, influence the assessments for the current study

The above information is not intended to contain all considerations relevant to a potential participation in a clinical trial.",RECRUITING
NCT05826327,Effects of Epidural Labor Analgesia With Esketamine on the Incidence of Postpartum Depression in Parturients,Postpartum Depression,"Inclusion Criteria:

* Full-term pregnancy; Antenatal depressive state (EPDS score ≥10 and non-depressive diagnosis by a psychiatrist); Epidural labor analgesia； Signed informed consent.

Exclusion Criteria:

* Pre-existing history of definite psychiatric disorders (depression, schizophrenia, etc.) or communication disorders；Presence of severe preoperative pregnancy complications (e.g., severe preeclampsia, placental implantation, HELLP syndrome, placenta praevia, placenta abruptio)；ASA classification ≥ grade III；Contraindications to ketamine/S-ketamine (e.g., intractable, refractory hypertension, severe cardiovascular disease \[cardiac function class ≥ III\], hyperthyroidism); Refusal to participate in the study.",RECRUITING
NCT06061627,A Randomized Controlled Trial of LOT-CRT Versus conventionaL BiVP in Heart Failure Patients With NICD,"Heart Failure, Intraventricular Block","Inclusion Criteria:

1. Ischemic or non ischemic cardiomyopathy
2. Optimal medical therapy for at lest 3 months
3. NYHA class II-IV
4. LVEF≤35% as assessed by echocardiography
5. Sinus rhythm (may have paroxysmal atrial fibrillation)
6. QRS duration ≥ 150ms
7. Intraventricular block (NICD), QRS morphology is neither LBBB nor RBBB

Exclusion Criteria:

1. Valvular heart disease that requires or has undergone surgical intervention
2. After mechanical tricuspid valve replacement
3. Persistent or permanent atrial fibrillation or atrial flutter
4. Second or third degree atrioventricular block
5. Have a history of acute myocardial infarction within 3 months prior to enrollment
6. Patient's expected survival time is less than 12 months
7. Pregnant or planned to conceive
8. Ventricular septal hypertrophy (ventricular septal thickness exceeds 15mm at the end of diastole)
9. Patients with simple and persistent left superior vena cava
10. Patients with existing pacemaker implantation",RECRUITING
NCT06319027,"Identifying Findings on Brain Scans That Could Help Make Better Predictions About Brain Cancer Progression, The GABLE Trial","Glioblastoma, IDH-Wildtype","Inclusion Criteria:

* Patient must be ≥ 18 years of age.
* Patient must have a Karnofsky Performance Status ≥ 60%.
* Patient must have newly diagnosed GBM (must be IDH wild type), with pathologic proof, based on World Health Organization (WHO) 2021 criteria.
* Patient must be planning to receive standard-of-care treatment for newly diagnosed glioblastoma.
* Patient must have completed an MRI prior to the diagnostic surgery for GBM and have images available for upload into Transfer of Images and Data (TRIAD).
* Patient must have diagnostic surgery for GBM within 7 weeks prior to registration.
* Patient must have O6-Methylguanine-DNA Methyltransferase (MGMT) methylation status ordered at time of registration.
* Patient must have a post-operative (op) MRI completed within 3 weeks after diagnostic surgery for GBM and have images available for upload into TRIAD.
* Patient must have no contraindications to MRI, including injection of gadolinium-based contrast agents, and demonstrated ability to tolerate MRI on pre-surgical imaging.
* Patient must have no allergies to agents that may potentially be used for non-standard of care imaging (18F-fluciclovine, MR contrast).
* Patient must not be pregnant or breast-feeding due to the potential harm to an unborn fetus and possible risk for adverse events in nursing infants with the interventions being used.

  * All patients of childbearing potential must have a blood test or urine study within 14 days prior to registration to rule out pregnancy.
  * A patient of childbearing potential is defined as anyone, regardless of sexual orientation or whether they have undergone tubal ligation, who meets the following criteria: 1) has achieved menarche at some point, 2) has not undergone a hysterectomy or bilateral oophorectomy; or 3) has not been naturally postmenopausal (amenorrhea following cancer therapy does not rule out childbearing potential) for at least 24 consecutive months (i.e., has had menses at any time in the preceding 24 consecutive months).
* Patient must have the ability to understand and the willingness to sign a written informed consent document. Patients with impaired decision-making capacity (IDMC) who have a legally authorized representative (LAR) or caregiver and/or family member available will also be considered eligible.
* Patients with a prior or concurrent malignancy whose natural history or treatment does not have the potential to interfere with the safety or efficacy assessment of the investigational regimen are eligible for this trial.",RECRUITING
NCT01341327,Observational Study for Left Main Disease Treatment,Coronary Artery Disease,"Inclusion Criteria:

* Significant unprotected left main stenosis (\>50% by visual estimation)

  * The LMCA is considered unprotected if there are no patent coronary artery bypass grafts to the left anterior descending artery or the left circumflex artery.
* No limitation of clinical or lesion characteristics
* Age \>18 years
* The patient or guardian agrees to the study protocol and the schedule of clinical follow-up, and provides informed, written consent, as approved by the appropriate Institutional Review Board/Ethics Committee of the respective clinical site.

Exclusion Criteria:

* Protected left main stenosis",RECRUITING
NCT04855227,A Prospective Evaluation of Pain After Non-complex Ventral Hernia Repair,Ventral Hernia,"Inclusion Criteria:

1. Subject is between 18 and 80 years of age.
2. Subject is a candidate for an elective primary (non-recurrent) ventral hernia repair.
3. Ventral hernia repair that will require mesh placement

Exclusion Criteria:

1. Subject is contraindicated for general anesthesia or surgery.
2. Subject with a ventral hernia that will require retromuscular mesh placement or employ a technique, including (but not limited to) external oblique release, Rives- Stoppa, eTEP Rives-Stoppa, transversus abdominis release, other component separation techniques (i.e. anterior component separation) or eTEP transversus abdominis release.
3. Subject has a recurrent hernia.
4. Subject who will have an emergent hernia repair.
5. Subject with a history of chronic pain and/or taking daily pain medications for \>6 weeks.
6. Subject with a history of substance abuse (excluding marijuana) and/or current (within 30 days) narcotic use.
7. Current marijuana use that the subject is unwilling to discontinue within the 14 days prior to surgery.
8. Subject with a history of MRSA infection.
9. Subject with HbA1c level \> 8.5%.
10. Use of Exparel during the surgical procedure.
11. Subject who will undergo a concomitant hernia repair or any other concomitant procedure.
12. Current nicotine use (including vaping) within the past 30 days.
13. Subject has a known bleeding or clotting disorder.
14. Pregnant or suspected pregnancy.
15. Subject is mentally handicapped or has a psychological disorder or severe systemic illness that would preclude compliance with study requirements or ability to provide informed consent.
16. Subject belonging to other vulnerable population, e.g, prisoner or ward of the state.
17. Subject is currently participating in another interventional or investigational research study.",RECRUITING
NCT06337227,Potential Role of Sirtuins as Epigenetic Biomarkers of the Patient With Atherosclerosis or Calcific Aortic Stenosis,Atherosclerosis and Calcific Aortic Stenosis With and Without Diabetes,"Inclusion Criteria:

* Patients with atherosclerosis or calcific aortic stenosis with and without diabetes older than 18 years of either sex;
* Patients without atherosclerosis undergoing surgical procedure for endocarditis;
* Patients who will have signed informed consent

Exclusion Criteria:

* Patients for whom biological material cannot be recovered for study purposes;
* Patients who refuse to participate in the study",RECRUITING
NCT05442827,A Phase II/III Study of Efficacy and Safety of SHR7280 Tablets in Subjects With Menorrhagia With Uterine Fibroids,Uterine Fibroids With Menorrhagia,"Inclusion Criteria:

1. The informed consent has been signed and dated;
2. Non-menopausal women between the ages of 18 and 49 (including 18 and 49);
3. Single or multiple uterine fibroids were confirmed by ultrasound examination during screening, and the maximum diameter of at least one fibroid was ≥2 cm;
4. Heavy menstrual bleeding measured by the alkaline hematin method during screening;
5. 3 months before screening, the subject's menstrual cycle is 21-38 days, and the period is no more than 14 days;
6. The pregnancy test was negative on the day of screening visit and randomization;
7. Human papillomavirus (HPV) testing should be added for subjects who have cervical cytology at the time of screening visit and whose TCT results are atypical squamous cells (ASC-US) of uncertain significance, or who test negative for high-risk HPV.

Exclusion Criteria:

1. Excessive menstrual bleeding and anemia caused by other reasons;
2. A history of depression or clinically significant depression;
3. Have a history of drug abuse, drug dependence;
4. History of smoking and alcohol abuse within 3 months prior to screening;
5. A history of delivery, breastfeeding and miscarriage within 6 months prior to screening;
6. Patients who received myomectomy within 3 months before screening, and patients who received uterine artery embolization, or high intensity focused ultrasound (HIFU) ablation within 6 months before screening;
7. Patients who underwent endometrial resection within 1 year prior to screening;
8. Patients with severe infection (one organ or whole body infection caused by pathogenic microorganism, and failure or death of the organ or multiple organs caused by infection), severe trauma (ISS ≥16 points) or major surgery (grade III/IV surgery in Surgical Classification Catalogue) within 6 months prior to screening;
9. Previous clinical major systemic disease, endocrine or metabolic abnormalities;
10. Having past or current thromboembolic disease or having a risk factor for thromboembolic disease (stage 2 only);
11. Previous history of malignant tumors such as ovary, breast, uterus, liver, hypothalamus and pituitary gland;Known or suspected sex hormone-dependent malignancies;
12. Any pre-existing disease or symptom (e.g., chronic intestinal disease, Crohn's disease, ulcerative colitis) that may affect systemic functioning of the body and may affect absorption, excessive accumulation, metabolism, or change the excretion pattern of the test drug;
13. Persons with prior known serious mental illness or inability to understand the purpose, methods, etc. of the clinical trial, and who did not follow the study procedures;
14. Live (attenuated) vaccine (other than influenza vaccine) received within 1 month prior to screening or planned during the trial;
15. Other reasons that the investigator considered inappropriate for participation in the study.
16. Follicle-stimulating hormone (FSH) ≥25U/L during screening;
17. Hb \< 6 g/dL during screening;
18. Moderate to severe liver impairment during screening, including aspartate aminotransferase (AST), alanine aminotransferase (ALT), or bilirubin (unless Gilbert's diagnosis is known) ≥2.0 times the upper limit of the reference range;
19. During screening, endometrial biopsy should be performed if endometrial thickness \> 18 mm is indicated by gynecological ultrasound or if the investigator deems it necessary. Endometrial histological abnormalities indicated by endometrial biopsy should be performed (only in the first stage).
20. Active pelvic inflammatory disease (PID) during screening;
21. QTcF≥450ms during screening;
22. Infectious disease screening resultshave clinical significance;
23. 6 months before enrollment, endometrial biopsy revealed significant endometrial histological abnormalities;If the subject has no sexual life history or the investigator determines that it is not necessary, the subject may be exempted (stage 2 only);
24. Two or more blood transfusions within 9 months prior to enrollment, or requiring transfusion therapy within 2 months prior to enrollment, or having any condition requiring immediate transfusion;
25. 1 month before admission, she used any drugs that inhibited or induced liver metabolism of drugs (liver drug enzyme inhibitors such as chloramphenicol, allopurinol,ketoconazole, fluoroquinolones, etc., and liver drug enzyme inducers such as carbamazepine, dexamethasone, phenobarbital, phenytoin sodium, rifamequine);
26. Participants in and enrolled in clinical trials of any drug or medical device within 3 months prior to enrollment, or who were still in the follow-up period of a clinical study or within 5 half-lives of the tested drug prior to screening, whichever is longer.",RECRUITING
NCT06291727,Mepivacaine vs Bupivacaine Spinal Anesthesia for TKA,"Anesthesia, Spinal, Arthroplasty, Replacement, Knee","Inclusion Criteria:

* Patient is at least 18 years of age who are scheduled for a primary elective TKA.
* Patient can ambulate at least 10 feet independently without human assistance.
* Patient must be a candidate for same day discharge as determined by American Society of Anesthesiologists (ASA) Physical Status Classification I and II

Exclusion Criteria:

* Patients scheduled for bilateral TKAs
* Contraindication to spinal anesthesia
* Revision TKAs
* Allergy or contraindication to NSAIDs (e.g. chronic anti-coagulant use)
* Workers' Compensation patient
* Type I Diabetes
* Type II Diabetes requiring insulin medication.
* Pre-operative narcotics use with the exception of tramadol.
* Renal insufficiency (GFR \< 60) that may impact post-operative protocol
* Cognitive deficiencies that prevent the patient from providing their own informed consent
* Language barrier preventing completion of study forms in English",RECRUITING
NCT02907827,Whole-body DW-MRI and cfDNA Analysis for the Surveillance of Melanoma Patients at High Risk for Recurrence.,Melanoma,"Inclusion Criteria:

* Histologically confirmed malignant melanoma;
* AJCC Stage III: No evidence of disease on most recent CT or PET-CT imaging
* Stage IV: Complete remission for more than 3 years, confirmed by most recent CT or PET-CT imaging

Exclusion Criteria:

* Contra-indication for MRI: pacemaker, metallic foreign body in eye, recent operation with prosthetic material (\< 6weken)
* Claustrophobia
* Metallic devices implanted such as hip prostheses, since this can alter the imaging quality",RECRUITING
NCT05650827,Feasibility and Effect of Resistance Training and Protein Supplementation in Patients With Advanced Gastroesophageal Cancer,Gastro-esophageal Cancer,"Inclusion Criteria:

* histologically verified, non-resectable cancer of the esophagus, stomach, or gastroesophageal junction
* referred to first line chemotherapy.

Exclusion Criteria:

* Age \< 18
* Living outside the greater Copenhagen area
* Any other malignancy requiring active treatment
* Not eligible for chemotherapy
* Performance status \> 2
* Not able to swallow liquids
* Parenteral nutrition or enteral nutrition via feeding tube
* Physical or mental disabilities that prohibit execution of test or training procedures
* Pregnancy
* Inability to understand the Danish language",RECRUITING
NCT06330727,Effects of Coffee Consumption on Metabolic Markers in Adults With Prediabetes and Obesity,Prediabetes,"Inclusion Criteria:

1. Age between 18 and 59 years old;
2. Diagnosis of Prediabetes according to the WHO criteria (fasting glucose=6.1-6.9 mmol/L and/or 2-hour post-OGTT glucose=7.8- 11.0 mmol/L);
3. Body mass index ( BMI ) ≥ 28kg/m2;
4. No coffee intake in the past month;
5. Provide written informed consent and be willing to participate.

Exclusion Criteria:

1. Patients with diagnosis of diabetes, or taking anti-diabetic medication;
2. Patients with cardiovascular or cerebrovascular diseases, cancer, renal disease, liver disease, other chronic diseases affecting glucose and lipid metabolism, etc;
3. Participants with known hypersensitivity or intolerance to coffee, or unwilling to accept coffee;
4. Pregnancy, planned pregnancy, or lactation;
5. Investigators, for any reason, consider the participants inappropriate for the study (e.g., uncontrolled bipolar disease).",RECRUITING
NCT03511976,Adaptive Response to Intervention (RTI) for Students With ADHD,Attention Deficit Disorder With Hyperactivity,"Inclusion Criteria:

* Child meets DSM-V diagnostic criteria for Attention-Deficit/Hyperactivity Disorder
* Child will be entering grades 1 - 5

Exclusion Criteria:

* Child or sibling living in the same home has history of sustained successful treatment of ADHD with stimulant medication
* Child currently has a special education placement involving placement in reduced ratio classroom or having a part or full-time aid due to behavior problems
* Child has an IQ less than 70
* Child has psychosis or a pervasive developmental disorder
* Child is in a classroom that already has a study participant
* Child is home-schooled",RECRUITING
NCT06093776,Rib Fracture Cryoanalgesia,Pain Management Improvement,"Inclusion Criteria:

* 18 years of age Acute pain attributed to rib fracture(s) Able to obtain consent

Exclusion Criteria:

* \<18 years of age Pregnant Incarcerated Confounding injuries or significant pain attributed to secondary injury Patients with any of the following: cryoglobulinemia; paroxysmal cold hemoglobinuria; cold urticarial; Raynaud's disease; open and/or infected wounds at or near the treatment site",RECRUITING
NCT06072976,The Influence of Feeding Source on the Gut Microbiome and Time to Full Feeds in Neonates With Congenital Gastrointestinal Pathologies,"Gastrointestinal Complication, Intestinal Obstruction, Gastroschisis, Hirschsprung Disease, Omphalocele, Midgut Volvulus","Inclusion Criteria:

* Infants with gastroschisis, giant omphalocele, intestinal atresia, mid-gut volvulus, hirschsprungs disease.

Exclusion Criteria:

1. Infant has already been on feeds
2. Infants \<34 weeks gestation
3. Parents with contraindications to providing milk (i.e. drug use-cocaine, fentanyl, meth BUT oxy/suboxone/marijuana OK)
4. Complicated gastroschisis
5. Short gut syndrome
6. Additional congenital anomalies that affect ability to tolerate milk (i.e. cyanotic congenital heart disease BUT kidney disease ok)",RECRUITING
NCT03317327,REirradiation and Programmed Cell Death Protein 1 (PD-1) Blockade On Recurrent Squamous Cell Head and Neck Tumors,Head and Neck Squamous Cell Carcinoma,"Inclusion Criteria:

* Age 18 years or older
* Recurrent or secondary primary squamous cell carcinoma originating from the oral cavity, oro/hypo-pharynx or larynx
* Prior radiotherapy (46-70Gy)
* Adequate newly obtained core or excisional biopsy of a recurrent tumor lesion
* Measurable disease
* Lesion available for biopsy during study treatment
* Eastern Cooperative Oncology Group (ECOG) performance status of 0 or 1
* Life expectancy of more than 12 months
* A minimum of 6 months since prior radiotherapy in the same area or minimum 4 weeks (28 days) since previous other cancer treatment
* Human papillomavirus positive and negative disease allowed
* Distant metastases allowed
* Adequate organ function based on clinical examination and lab values
* Women of childbearing potential (WOCBP) must have a negative serum or urine pregnancy test (minimum sensitivity 25 IU/L or equivalent units of HCG) within 24 hours prior to the start of study drug
* Women must not be breastfeeding
* WOCBP should use an adequate method to avoid pregnancy for 23 weeks (30 days plus the time required for nivolumab to undergo five half-lives) after the last dose of investigational drug
* Males who are sexually active with WOCBP must agree to follow instructions for method(s) of contraception for a period of 90 days (duration of sperm turnover) plus the time required for the investigational drug to undergo five half-lives. The terminal half-life of nivolumab is up to 25 days

Exclusion Criteria:

* History of other prior malignancy, with the exception of curatively treated basal cell or squamous cell carcinoma of the skin, cervical cancer stage IB and stage I prostate cancer considered not necessary to treat
* Disease suitable for curative salvage surgery
* Treatment with any investigational medicinal product (IMP) that may interfere with the study treatment, within 4 weeks prior to first administration of study drug.
* Significant cardiac, pulmonary or other medical illness that would limit activity or survival
* Pregnancy or lactation.
* Known hypersensitivity to any of the components of the investigational product
* Patients who test positive for hepatitis B, C or HIV.
* Diagnosis of immunodeficiency or medical condition requiring systemic steroids or other forms of immunosuppressive therapy
* Autoimmune disease that has required systemic therapy within the past 2 years
* Any reason why, in the opinion of the investigator, the patient should not participate",RECRUITING
NCT06146127,Precision Medicine for Combined Hepatocellular-Cholangiocarcinoma,Liver Cancer,"Inclusion Criteria:

histological diagnosis of combined tumor biological sample available

Exclusion Criteria:

unequivocal histological features",RECRUITING
NCT06598176,Developing a Combined Molecular Screening and Triage Test for Cervical Cancer in Self-samples,"Uterine Cervical Neoplasm, Uterine Cervical Dysplasia, Human Papilloma Virus, HPV-Related Cervical Carcinoma","Inclusion Criteria:

* Female
* 25 until 64 years old
* Diagnosed with cervical cancer (CIN3+, irrespective of stage) OR in need of conization (irrespective of diagnostic or therapeutic purposes)
* Has not started any form of cancer treatment prior to study enrollment
* Written informed consent must be obtained from patient
* Is able to understand the information brochure and what the study is about

Exclusion Criteria:

* Women that underwent hysterectomy
* Pregnant women or 6 weeks post-partum
* Treatment for cervical (pre)cancer in the last 6 months before participation in the study
* Participating in another interventional clinical study (where e.g., a medical device, drug, or vaccine is evaluated) at the same time of participating in this study. Participation in another observational or low-interventional clinical study at the same time is allowed.
* Unable to give informed consent
* Patient has severe anaemia
* Patient received blood transfusion two weeks before sample collection
* Blood sampling would compromise patients' overall health
* Patients who are positive for Human Immunodeficiency Virus (HIV), Hepatitis B or Hepatitis C.
* Patients who are alcoholic or drug abusers
* Patients with a history or current evidence of any condition or abnormality that might confound the results of the study, or is not in the best interest of the patient to participate, in the opinion of the investigator.",RECRUITING
NCT05000827,Dutch National Randomized Study: PSMA-PET/CT as a Triage Tool for Pelvic Lymph Node Dissection in Prostatectomy Patients,"Prostate Cancer Metastatic, Prostate Cancer, Lymph Node Metastases","Inclusion Criteria:

* Biopsy proven adenocarcinoma of the prostate
* Indication for ePLND combined with robot assisted radical prostatectomy (RARP) (MSKCC nomogram \>5%, if not applicable when only MRI targeted biopsies are positive, the Briganti nomogram will be used)
* Suitable for robot-assisted ePLND and RARP
* Mentally competent and understanding of benefits and potential burden of the study
* Written informed consent
* No known allergies for PSMA tracer.

Exclusion Criteria:

* History of prior diagnosed or treated PCa
* Known concomitant malignancies (except Basal Cell Carcinoma of the skin)
* Unwillingness or inability to undergo PSMA PET/CT and/or ePLND and RARP
* PSMA non-avid PCa (local tumor activity)
* Presence of distant metastasis (M1)",RECRUITING
NCT05364827,CT Coronary Angiography Prior to CTO PCI,Chronic Total Occlusion of Coronary Artery,"Inclusion Criteria:

* ≥18 years
* CTO with J-CTO score≥2
* Appropriate indication for CTO PCI
* Adequate CTCA images for analysis

Exclusion Criteria:

* \<18 years of age
* CTO with J-CTO score\<2
* Inadequate/degraded CTCA images
* Pregnant/lactating women
* Patients with severe contrast allergy
* Patients unable to provide written informed consent",RECRUITING
NCT05038527,ABM/P-15 Bone Graft vs Traditional Bone Graft in Adult Spinal Deformity Surgery,"Spine Deformity, Bone Graft; Complications, Adverse Events","Inclusion Criteria:

* Indication for ASD surgery
* Indication for the use of bone graft
* Age ≥ 18 years old at the date of surgery

Exclusion Criteria:

* ASA ≥ 4
* Formally diagnosed with a disease affecting the bone metabolism or wound healing (severe osteoporosis, osteomalacia, Pagets disease, hyperparathyreoidism etc.)
* Disseminated cancer diseases
* Hypersensitivity to any of the i-FACTOR Peptide Enhanced Bone Graft ingredients
* Smoking, extensive alcohol use or abuse of hallucinating drugs
* Severe liver or kidney disorders
* Pregnancy or breastfeeding patients
* Patients estimated not to be able to understand the information sheet or patients, who do not consent to participate in the study.
* Severe psychiatric diseases
* Ongoing infections",RECRUITING
NCT05752227,Difference Strain Ratio Ultrasound Elastography Between Benign and Malignant Peripheral Lung Lesions,Peripheral Lung Lesions,"Inclusion Criteria:

* 1) Adult patients above age of 18 years old. 2) Patients with peripheral lung lesion.

Exclusion Criteria:

1. Pure pleural lesions.
2. Clinical instability to reach the final diagnosis.
3. Inaccessibility by ultrasound.",RECRUITING
NCT03739827,Natural History and Biospecimen Acquisition for Children and Adults With Rare Solid Tumors,"Malignant Solid Tumors, Other Neoplasms Solid Tumors, Pediatric Solid Tumor, Refractory Solid Tumors, Solid Tumor","* INCLUSION CRITERIA:
* Cohort 1: Participants with a diagnosis of a rare solid tumor (fewer than 15 cases in 100,000 people per year). There are no age restrictions beyond the neonatal period (4 weeks).

OR

-Cohort 2: Participants without a rare tumor who have a germline genetic variant that predisposes to a rare solid tumor

OR

-Cohort 3: Relatives of participants with diagnosis of rare solid tumors who do NOT have a known germline variant that predisposes to a rare solid tumor

OR

* Cohort 4: Parent/guardian of child participating in a focus group if not already enrolled on the study.
* Ability of subject or Legally Authorized Representative (LAR) to understand and the willingness to sign a written informed consent document.

EXCLUSION CRITERIA:

None",RECRUITING
NCT04349527,"Comparison of the Cosmetic Results, Quality of Life and Patient Satisfaction Achieved With Round-block and Retroglandular Oncoplastic Breast Conserving Surgeries","Breast Cancer, Quality of Life, Patient Satisfaction","Inclusion Criteria:

* - Under the age of 65, suffering from unilateral (cT\< 3cm) in situ or invasive breast cancer, who are fit for breast conserving surgeries, who had no previous breast surgery, independent from axillary surgery (sentinel lymph node biopsy or axillary block dissection)

Exclusion Criteria:

* In case the patient does not volunteer for the examination or the follow-ups
* Age above 65 years or poor general health condition, where the estimated life expectancies would be less than 2 years even without a tumor
* Malignant invasive tumor in the past history (except for non-melanoma skin tumors)
* Mastectomy performed due to positive resection margin
* Prior breast surgery (e.g. aesthetic surgery, breast lift) and/or radiotherapy on the breast or in the axilla
* Malignant tumor is not removed completely with pathological examination
* Severe non-surgical (e.g. radiotherapy) complication, which could influence the aesthetic and functional results
* Autoimmune diseases
* Tumor requiring mastectomy, or clinically larger than 3 cm tumor primary, or mastitis carcinomatosa, lymphangitis carcinomatosa
* Long-term steroid usage, which changed the skin's quality and structure
* Patient under foster care, or psychically non-cooperative patient",RECRUITING
NCT05245227,Double Simultaneous Uterotonic Agents Versus Single Agent Regimen to Prevent Early Postpartum Hemorrhage,Postpartum Hemorrhage,"Inclusion Criteria:

- All women 18 years and older admitted to delivery at Stony Brook University hospital who agree to participate in the study

Exclusion Criteria:

* Women under 18 years old
* Women with known coagulation disorders
* Women with planned cesarean hysterectomy
* Women with known placental accreta spectrum disorders
* Women with known allergy to prostaglandins",RECRUITING
NCT06221176,Biomarkers Research in Anxiety for Validation and Efficacy,"Autism, Autism Spectrum Disorder","Inclusion Criteria:

* Age between 3;0 and 6;11 years old
* A diagnosis of autism spectrum disorder using DSM-5 diagnostic criteria
* A diagnosis of anxiety disorder using DSM-5 diagnostic criteria
* Use of fluent 2-3 word phrases or fluent speech (i.e., Module 2 or 3 for ADOS-2)
* Cognitive ability (either verbal or non-verbal IQ) \> 80 using the DAS-2
* A parent/guardian who is willing/able to participate and respond to interviews/surveys in English and willing/able to participate in Being Brave parent training in English and support homework activities.

Exclusion Criteria:

* Presence of seizures
* Premature birth (\<36 weeks) or low birth weight (\<2500 gms)
* Known genetic or medical disorders (e.g., Fragile X), or injuries (e.g., stroke) with implications for the nervous system or that require regular psychoactive medication that alter EEG/RSA/EDR signal (e.g., anti-convulsants)
* Significant sensory or motor impairment (e.g., blindness)
* Major physical abnormalities
* Exposure to environmental factors that could contribute to neurocognitive delays (significant alcohol exposure in utero, extreme environmental deprivation)
* Previous CBT for anxiety
* Presence of conduct or oppositional defiant disorder or ADHD so severe as to interfere with the child's ability to take part in treatment
* Presence of a primary presenting problem for which the intervention would be inappropriate (e.g., obsessive-compulsive disorder, severe mood disorder, suicidality)
* Psychotic symptoms in the child or parents
* Parent/caregiver who is not fluent in English or English is spoken in the home less than half of the time.",RECRUITING
